Name,Address,City,Phone,Website,Email,Google Maps URL
Amministratore di condominio Nuccia Palermo,"Via A. Di Giovanni, 15, 92100 Agrigento AG, Italy",Agrigento,+39 320 314 7988,,,"https://www.google.com/maps/place/Amministratore+di+condominio+Nuccia+Palermo/@37.3292563,13.5200751,13z/data=!4m10!1m2!2m1!1sAmministratore+di+condominio+Agrigento!3m6!1s0x1310830e5660ce73:0x43f9de6a747c06ed!8m2!3d37.3292563!4d13.5921729!15sCiZBbW1pbmlzdHJhdG9yZSBkaSBjb25kb21pbmlvIEFncmlnZW50b1ooIiZhbW1pbmlzdHJhdG9yZSBkaSBjb25kb21pbmlvIGFncmlnZW50b5IBFnByb3BlcnR5X2FkbWluaXN0cmF0b3KaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUm9lRnBsVVV4UkVBRaoBhwEKCS9tLzAyMHlzNQoIL20vMGM4bGIQASogIhxhbW1pbmlzdHJhdG9yZSBkaSBjb25kb21pbmlvKAcyIBABIhzzus0FwI-Z8hIW6sk7l4inuXhmSPMSExWbGs8vMioQAiImYW1taW5pc3RyYXRvcmUgZGkgY29uZG9taW5pbyBhZ3JpZ2VudG_gAQD6AQQIABAP!16s%2Fg%2F11mvs23cww?hl=en&entry=ttu&g_ep=EgoyMDI1MDgxMy4wIKXMDSoASAFQAw%3D%3D"
Amministratore di condominio Nuccia Palermo,"Viale della Vittoria, 263/B, 92100 Agrigento AG, Italy",Agrigento,+39 380 637 7269,http://www.studionicolicchia.com/,,"https://www.google.com/maps/place/Studio+Amministrazione+condominiale+di+Nicolicchia+Vincenzo/@37.3292563,13.5200751,13z/data=!4m10!1m2!2m1!1sAmministratore+di+condominio+Agrigento!3m6!1s0x1310824d030743f1:0x38d4fb3bfc91f089!8m2!3d37.306057!4d13.5934291!15sCiZBbW1pbmlzdHJhdG9yZSBkaSBjb25kb21pbmlvIEFncmlnZW50b1ooIiZhbW1pbmlzdHJhdG9yZSBkaSBjb25kb21pbmlvIGFncmlnZW50b5IBFnByb3BlcnR5X2FkbWluaXN0cmF0b3KaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUjBkelJ0Y1hCblJSQUKqAYcBCgkvbS8wMjB5czUKCC9tLzBjOGxiEAEqICIcYW1taW5pc3RyYXRvcmUgZGkgY29uZG9taW5pbygHMiAQASIc87rNBcCPmfISFurJO5eIp7l4ZkjzEhMVmxrPLzIqEAIiJmFtbWluaXN0cmF0b3JlIGRpIGNvbmRvbWluaW8gYWdyaWdlbnRv4AEA-gEECHsQQA!16s%2Fg%2F11f3zmw6zg?hl=en&entry=ttu&g_ep=EgoyMDI1MDgxMy4wIKXMDSoASAFQAw%3D%3D"
Studio Amministrazione condominiale di Nicolicchia Vincenzo,"Viale della Vittoria, 263/B, 92100 Agrigento AG, Italy",Agrigento,+39 380 637 7269,http://www.studionicolicchia.com/,,"https://www.google.com/maps/place/Amministratori+condominio+Acap+Agrigento/@37.3292563,13.5200751,13z/data=!4m10!1m2!2m1!1sAmministratore+di+condominio+Agrigento!3m6!1s0x1310824ddc0010cb:0xb3015de6b4856bd1!8m2!3d37.3067132!4d13.5846061!15sCiZBbW1pbmlzdHJhdG9yZSBkaSBjb25kb21pbmlvIEFncmlnZW50b5IBFnByb3BlcnR5X2FkbWluaXN0cmF0b3KqAYcBCgkvbS8wMjB5czUKCC9tLzBjOGxiEAEqICIcYW1taW5pc3RyYXRvcmUgZGkgY29uZG9taW5pbygHMiAQASIc87rNBcCPmfISFurJO5eIp7l4ZkjzEhMVmxrPLzIqEAIiJmFtbWluaXN0cmF0b3JlIGRpIGNvbmRvbWluaW8gYWdyaWdlbnRv4AEA!16s%2Fg%2F11g8_bpc46?hl=en&entry=ttu&g_ep=EgoyMDI1MDgxMy4wIKXMDSoASAFQAw%3D%3D"
Amministratori condominio Acap Agrigento,"Via Alessandro Manzoni, 167, 92100 Agrigento AG, Italy",Agrigento,+39 338 638 0480,http://www.amministratoriacap.com/,,"https://www.google.com/maps/place/Amministrazione+Condomini+Garufo/@37.3292563,13.5200751,13z/data=!4m10!1m2!2m1!1sAmministratore+di+condominio+Agrigento!3m6!1s0x1310831f1d33ba55:0x6adb199eca7d38d4!8m2!3d37.3358383!4d13.5937137!15sCiZBbW1pbmlzdHJhdG9yZSBkaSBjb25kb21pbmlvIEFncmlnZW50b5IBFnByb3BlcnR5X2FkbWluaXN0cmF0b3KqAYcBCgkvbS8wMjB5czUKCC9tLzBjOGxiEAEqICIcYW1taW5pc3RyYXRvcmUgZGkgY29uZG9taW5pbygHMiAQASIc87rNBcCPmfISFurJO5eIp7l4ZkjzEhMVmxrPLzIqEAIiJmFtbWluaXN0cmF0b3JlIGRpIGNvbmRvbWluaW8gYWdyaWdlbnRv4AEA!16s%2Fg%2F1tm929_p?hl=en&entry=ttu&g_ep=EgoyMDI1MDgxMy4wIKXMDSoASAFQAw%3D%3D"
Amministrazione Condomini Garufo,"Piazza Vincenzo Savatteri Castelli, 25 - 26 - 27, 92100 Agrigento AG, Italy",Agrigento,+39 328 201 2136,https://www.garufo.it/,info@garufo.it; segreteria@garufo.it,"https://www.google.com/maps/place/Mantisi+Geom.+Alfonso+Studio+Amministrazione+Condominiale/@37.3292563,13.5200751,13z/data=!4m10!1m2!2m1!1sAmministratore+di+condominio+Agrigento!3m6!1s0x1310824cda3529bd:0xeca30fa36d227da6!8m2!3d37.3045564!4d13.5892345!15sCiZBbW1pbmlzdHJhdG9yZSBkaSBjb25kb21pbmlvIEFncmlnZW50b1ooIiZhbW1pbmlzdHJhdG9yZSBkaSBjb25kb21pbmlvIGFncmlnZW50b5IBFnByb3BlcnR5X2FkbWluaXN0cmF0b3KqAYcBCgkvbS8wMjB5czUKCC9tLzBjOGxiEAEqICIcYW1taW5pc3RyYXRvcmUgZGkgY29uZG9taW5pbygHMiAQASIc87rNBcCPmfISFurJO5eIp7l4ZkjzEhMVmxrPLzIqEAIiJmFtbWluaXN0cmF0b3JlIGRpIGNvbmRvbWluaW8gYWdyaWdlbnRv4AEA!16s%2Fg%2F11h08llj6?hl=en&entry=ttu&g_ep=EgoyMDI1MDgxMy4wIKXMDSoASAFQAw%3D%3D"
Mantisi Geom. Alfonso Studio Amministrazione Condominiale,"Via Esseneto, 97, 92100 Agrigento AG, Italy",Agrigento,+39 0922 402544,,,"https://www.google.com/maps/place/Geom.+Marco+Piraneo+Studio+di+amministrazione+e+consulenza+condominiale/@37.3292563,13.5200751,13z/data=!4m10!1m2!2m1!1sAmministratore+di+condominio+Agrigento!3m6!1s0x13108323437df371:0x67ccd3f6d8918d51!8m2!3d37.3045564!4d13.5892345!15sCiZBbW1pbmlzdHJhdG9yZSBkaSBjb25kb21pbmlvIEFncmlnZW50b5IBFnByb3BlcnR5X2FkbWluaXN0cmF0b3KqAYcBCgkvbS8wMjB5czUKCC9tLzBjOGxiEAEqICIcYW1taW5pc3RyYXRvcmUgZGkgY29uZG9taW5pbygHMiAQASIc87rNBcCPmfISFurJO5eIp7l4ZkjzEhMVmxrPLzIqEAIiJmFtbWluaXN0cmF0b3JlIGRpIGNvbmRvbWluaW8gYWdyaWdlbnRv4AEA!16s%2Fg%2F11jp7fkks2?hl=en&entry=ttu&g_ep=EgoyMDI1MDgxMy4wIKXMDSoASAFQAw%3D%3D"
Geom. Marco Piraneo Studio di amministrazione e consulenza condominiale,"Via Esseneto, 97, 92100 Agrigento AG, Italy",Agrigento,+39 327 668 2257,,,"https://www.google.com/maps/place/Carmela+Dulcetta:+Amministrazione+Condominiale+ad+Agrigento+e+Provincia/@37.3292563,13.5200751,13z/data=!4m10!1m2!2m1!1sAmministratore+di+condominio+Agrigento!3m6!1s0x131083815b83a045:0x316dd0b364f4bfba!8m2!3d37.3156956!4d13.5816842!15sCiZBbW1pbmlzdHJhdG9yZSBkaSBjb25kb21pbmlvIEFncmlnZW50b1ooIiZhbW1pbmlzdHJhdG9yZSBkaSBjb25kb21pbmlvIGFncmlnZW50b5IBFnByb3BlcnR5X2FkbWluaXN0cmF0b3KaASNDaFpEU1VoTk1HOW5TMFZKUTBGblRVUm5lSEYyWkZwQkVBRaoBhwEKCS9tLzAyMHlzNQoIL20vMGM4bGIQASogIhxhbW1pbmlzdHJhdG9yZSBkaSBjb25kb21pbmlvKAcyIBABIhzzus0FwI-Z8hIW6sk7l4inuXhmSPMSExWbGs8vMioQAiImYW1taW5pc3RyYXRvcmUgZGkgY29uZG9taW5pbyBhZ3JpZ2VudG_gAQD6AQQINxA2!16s%2Fg%2F11y1tjg5m_?hl=en&entry=ttu&g_ep=EgoyMDI1MDgxMy4wIKXMDSoASAFQAw%3D%3D"
Carmela Dulcetta: Amministrazione Condominiale ad Agrigento e Provincia,"Via Imera, 189, 92100 Agrigento AG, Italy",Agrigento,+39 340 070 4780,http://www.carmeladulcetta.it/,dulcetta.carmela@libero.it; dulcetta.carmela@pec.it,"https://www.google.com/maps/place/Scic+Energy+Srl+-+dott.+Cultrera+Salvatore/@37.3292563,13.5200751,13z/data=!4m10!1m2!2m1!1sAmministratore+di+condominio+Agrigento!3m6!1s0x1310825132e15557:0x769bdc8fdd85ac67!8m2!3d37.3137272!4d13.5821833!15sCiZBbW1pbmlzdHJhdG9yZSBkaSBjb25kb21pbmlvIEFncmlnZW50b1ooIiZhbW1pbmlzdHJhdG9yZSBkaSBjb25kb21pbmlvIGFncmlnZW50b5IBFnByb3BlcnR5X2FkbWluaXN0cmF0b3KaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUTJPWFZRZEVkQkVBRaoBhwEKCS9tLzAyMHlzNQoIL20vMGM4bGIQASogIhxhbW1pbmlzdHJhdG9yZSBkaSBjb25kb21pbmlvKAcyIBABIhzzus0FwI-Z8hIW6sk7l4inuXhmSPMSExWbGs8vMioQAiImYW1taW5pc3RyYXRvcmUgZGkgY29uZG9taW5pbyBhZ3JpZ2VudG_gAQD6AQQIABAm!16s%2Fg%2F11h081cf_1?hl=en&entry=ttu&g_ep=EgoyMDI1MDgxMy4wIKXMDSoASAFQAw%3D%3D"
Scic Energy Srl - dott. Cultrera Salvatore,"Via Plebis Rea, 66, 92100 Agrigento AG, Italy",Agrigento,+39 0922 553332,http://www.studiograceffa.it/,studiograceffa@gmail.com,"https://www.google.com/maps/place/Studio+Graceffa+Del+Geom.+Salvatore+Graceffa/@37.3292563,13.5200751,13z/data=!4m10!1m2!2m1!1sAmministratore+di+condominio+Agrigento!3m6!1s0x131082f89320071b:0xef328552c621a2f3!8m2!3d37.3201108!4d13.5828715!15sCiZBbW1pbmlzdHJhdG9yZSBkaSBjb25kb21pbmlvIEFncmlnZW50b1ooIiZhbW1pbmlzdHJhdG9yZSBkaSBjb25kb21pbmlvIGFncmlnZW50b5IBFnByb3BlcnR5X2FkbWluaXN0cmF0b3KaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTXRjMGxFT0RGQlJSQUKqAYcBCgkvbS8wMjB5czUKCC9tLzBjOGxiEAEqICIcYW1taW5pc3RyYXRvcmUgZGkgY29uZG9taW5pbygHMiAQASIc87rNBcCPmfISFurJO5eIp7l4ZkjzEhMVmxrPLzIqEAIiJmFtbWluaXN0cmF0b3JlIGRpIGNvbmRvbWluaW8gYWdyaWdlbnRv4AEA-gEECAAQHg!16s%2Fg%2F1tdt3nrb?hl=en&entry=ttu&g_ep=EgoyMDI1MDgxMy4wIKXMDSoASAFQAw%3D%3D"
Studio Graceffa Del Geom. Salvatore Graceffa,"Via Mazzini, 44 bis, 92100 Agrigento AG, Italy",Agrigento,+39 0922 27608,http://www.studiograceffa.it/,studiograceffa@gmail.com,"https://www.google.com/maps/place/Grimaldi+Giuseppe/@37.3292563,13.5200751,13z/data=!4m10!1m2!2m1!1sAmministratore+di+condominio+Agrigento!3m6!1s0x1310825034c9fa11:0x94a1941b30d10a54!8m2!3d37.3096155!4d13.5814362!15sCiZBbW1pbmlzdHJhdG9yZSBkaSBjb25kb21pbmlvIEFncmlnZW50b5IBFnByb3BlcnR5X2FkbWluaXN0cmF0b3KqAYcBCgkvbS8wMjB5czUKCC9tLzBjOGxiEAEqICIcYW1taW5pc3RyYXRvcmUgZGkgY29uZG9taW5pbygHMiAQASIc87rNBcCPmfISFurJO5eIp7l4ZkjzEhMVmxrPLzIqEAIiJmFtbWluaXN0cmF0b3JlIGRpIGNvbmRvbWluaW8gYWdyaWdlbnRv4AEA!16s%2Fg%2F1tcx3mh4?hl=en&entry=ttu&g_ep=EgoyMDI1MDgxMy4wIKXMDSoASAFQAw%3D%3D"
